ts,equity
7349,1e+06
15646,1e+06
24111,1e+06
31674,1e+06
38005,1e+06
45022,1e+06
52119,1e+06
59419,1e+06
67143,1e+06
74255,1e+06
79448,1e+06
89779,999998
97557,999999
106282,999999
113927,999999
118666,1e+06
125414,1e+06
131971,1e+06
139930,1e+06
149047,1e+06
154258,1e+06
161734,1e+06
171155,1e+06
177793,999998
186816,999998
195403,999998
203036,999998
211346,999997
218411,999997
225331,999997
233417,999997
240329,999997
247575,999994
257852,999994
266023,999993
273885,999993
282014,999993
292069,999993
297707,999993
304259,999993
311591,999993
319249,999993
326470,999993
332060,999993
340395,999993
348984,999993
356235,999993
364051,999993
371736,999993
378764,999993
388321,999993
397688,999993
406437,999993
412574,999993
421938,999993
427500,999993
432779,999993
441276,999993
446925,999993
455615,999993
467094,999993
473792,999993
483132,999993
490203,999993
496816,999993
504968,999993
509827,999993
515906,999993
521075,999993
526075,999993
528808,999993
533203,999993
538539,999993
542219,999993
546106,999993
549762,999993
553834,999993
556457,999993
561203,999993
566126,999993
569845,999993
573331,999993
575781,999993
578922,999993
582931,999993
588135,999993
592794,999993
595730,999993
600036,999993
602932,999993
605323,999993
608418,999993
614212,999993
617666,999993
622048,999993
625694,999993
630507,999993
634820,999993
637302,999993
643601,999993
648755,999993
653260,999993
656356,999993
660766,999993
663107,999993
666151,999993
669969,999994
674146,999994
678662,999994
681552,999994
686363,999994
691017,999994
695795,999994
698765,999994
703103,999994
706253,999994
710371,999994
713927,999988
716491,999988
719878,999988
724963,999988
729141,999988
732027,999988
735561,999988
740279,999988
743380,999988
748296,999988
750619,999988
755311,999988
759483,999988
762335,999988
767059,999988
772179,999988
780972,999988
783896,999988
786786,999988
791435,999988
795581,999988
798782,999988
804275,999988
806780,999988
810698,999988
814357,999988
819124,999988
822195,999988
825925,999988
831364,999988
834122,999988
836525,999988
840875,999988
843735,999988
847985,999988
852374,999988
856058,999988
858859,999983
864587,999983
869699,999983
873886,999983
876927,999983
879649,999983
884396,999983
889444,999983
892534,999983
896609,999983
899922,999983
903868,999983
908518,999983
913129,999983
918524,999983
921203,999983
924611,999983
928177,999983
932772,999983
934627,999983
939466,999983
943688,999983
946447,999983
950464,999983
953310,999983
957733,999983
961979,999983
964350,999983
966787,999983
971563,999983
975084,999983
979565,999983
984986,999983
988581,999983
993436,999977
996234,999977
999713,999977
1002813,999977
1006046,999977
1010998,999977
1014846,999977
1017291,999977
1022566,999977
1026340,999977
1029115,999977
1033829,999977
